2023-06-29 19:37:21,880 INFO    Thread-22 (_run_job):6361 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-29 19:37:21,945 INFO    Thread-22 (_run_job):6361 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-29 19:37:22,505 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_on_init():2176] communicating current version
2023-06-29 19:37:22,862 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_on_init():2185] got version response 
2023-06-29 19:37:22,863 INFO    Thread-22 (_run_job):6361 [wandb_init.py:init():787] starting run threads in backend
2023-06-29 19:37:24,509 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_console_start():2155] atexit reg
2023-06-29 19:37:24,509 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-29 19:37:24,509 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-29 19:37:24,510 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-29 19:37:24,510 INFO    Thread-22 (_run_job):6361 [wandb_init.py:init():828] run started, returning control to user process
2023-06-29 19:37:24,510 INFO    Thread-22 (_run_job):6361 [wandb_config.py:__setitem__():152] config set epochs = 2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x31deb5270>>
2023-06-29 19:37:24,510 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_config_callback():1283] config_cb epochs 2 None
2023-06-29 19:37:24,510 INFO    Thread-22 (_run_job):6361 [wandb_config.py:__setitem__():152] config set log_step = 20 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x31deb5270>>
2023-06-29 19:37:24,510 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_config_callback():1283] config_cb log_step 20 None
2023-06-29 19:37:24,510 INFO    Thread-22 (_run_job):6361 [wandb_config.py:__setitem__():152] config set val_log_step = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x31deb5270>>
2023-06-29 19:37:24,510 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_config_callback():1283] config_cb val_log_step 50 None
2023-06-29 19:37:24,511 INFO    Thread-22 (_run_job):6361 [wandb_config.py:__setitem__():152] config set architecture_name = MLP - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x31deb5270>>
2023-06-29 19:37:24,511 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_config_callback():1283] config_cb architecture_name MLP None
2023-06-29 19:37:24,511 INFO    Thread-22 (_run_job):6361 [wandb_config.py:__setitem__():152] config set dataset_name = MNIST - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x31deb5270>>
2023-06-29 19:37:24,511 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_config_callback():1283] config_cb dataset_name MNIST None
2023-06-29 19:37:58,534 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_finish():1890] finishing run uj_fasci/sweeps-tensorflow/rsx3tsxn
2023-06-29 19:37:58,534 INFO    Thread-22 (_run_job):6361 [jupyter.py:save_history():445] not saving jupyter history
2023-06-29 19:37:58,534 INFO    Thread-22 (_run_job):6361 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-06-29 19:37:58,534 INFO    Thread-22 (_run_job):6361 [wandb_init.py:_jupyter_teardown():435] cleaning up jupyter logic
2023-06-29 19:37:58,534 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-29 19:37:58,534 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_restore():2107] restore
2023-06-29 19:37:58,534 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_restore():2113] restore done
2023-06-29 19:38:04,164 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-29 19:38:04,164 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-29 19:38:04,169 INFO    Thread-22 (_run_job):6361 [wandb_run.py:_footer_sync_info():3426] logging synced files
